NAME,HR_TIME,LAT,LON,TEMP,DIR,SPD,PCP01,SD,STP
LasVegas,1971032100,36.13,-115.15,73,090,5,*,*,936.3
LasVegas,1971032101,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032102,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032103,36.13,-115.15,62,230,3,*,*,936.7
LasVegas,1971032104,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032105,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032106,36.13,-115.15,51,250,8,*,*,937.7
LasVegas,1971032107,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032108,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032109,36.13,-115.15,47,250,9,*,*,938.4
LasVegas,1971032110,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032111,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032112,36.13,-115.15,44,300,6,*,*,939.0
LasVegas,1971032113,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032114,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032115,36.13,-115.15,43,310,3,*,*,940.7
LasVegas,1971032116,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032117,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032118,36.13,-115.15,64,010,6,*,*,941.8
LasVegas,1971032119,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032120,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032121,36.13,-115.15,73,070,7,*,*,940.1
LasVegas,1971032122,36.13,-115.15,*,*,*,*,*,*
LasVegas,1971032123,36.13,-115.15,*,*,*,*,*,*
WoodyCreek,2005022000,39.27,-106.89,*,*,7,*,*,*
WoodyCreek,2005022001,39.27,-106.89,*,*,0,*,*,*
WoodyCreek,2005022002,39.27,-106.89,*,*,0,*,*,*
WoodyCreek,2005022003,39.27,-106.89,*,*,6,*,*,*
WoodyCreek,2005022004,39.27,-106.89,*,*,7,*,*,*
WoodyCreek,2005022005,39.27,-106.89,*,*,6,*,*,*
WoodyCreek,2005022006,39.27,-106.89,*,*,0,*,*,*
WoodyCreek,2005022007,39.27,-106.89,*,*,0,*,*,*
WoodyCreek,2005022008,39.27,-106.89,*,*,0,*,*,*
WoodyCreek,2005022009,39.27,-106.89,*,*,5,*,*,*
WoodyCreek,2005022010,39.27,-106.89,*,*,7,*,*,*
WoodyCreek,2005022011,39.27,-106.89,*,*,7,*,*,*
WoodyCreek,2005022012,39.27,-106.89,*,*,5,*,*,*
WoodyCreek,2005022013,39.27,-106.89,*,*,6,*,*,*
WoodyCreek,2005022014,39.27,-106.89,*,*,0,*,*,*
WoodyCreek,2005022015,39.27,-106.89,*,*,3,*,*,*
WoodyCreek,2005022016,39.27,-106.89,*,*,5,*,*,*
WoodyCreek,2005022017,39.27,-106.89,*,*,5,*,*,*
WoodyCreek,2005022018,39.27,-106.89,*,*,8,*,*,*
WoodyCreek,2005022019,39.27,-106.89,*,*,11,*,*,*
WoodyCreek,2005022020,39.27,-106.89,*,*,3,*,*,*
WoodyCreek,2005022021,39.27,-106.89,*,*,0,*,*,*
WoodyCreek,2005022022,39.27,-106.89,*,*,7,*,*,*
WoodyCreek,2005022023,39.27,-106.89,*,*,6,*,*,*
