HR_TIME,LAT,LON,TEMP,SPD
1971032100,34.05,-118.25,56,10
1971032101,34.05,-118.25,56,5
1971032102,34.05,-118.25,55,6
1971032103,34.05,-118.25,53,10
1971032104,34.05,-118.25,52,3
1971032105,34.05,-118.25,52,7
1971032106,34.05,-118.25,53,7
1971032107,34.05,-118.25,53,6
1971032108,34.05,-118.25,53,6
1971032109,34.05,-118.25,53,3
1971032110,34.05,-118.25,53,3
1971032111,34.05,-118.25,53,5
1971032112,34.05,-118.25,53,5
1971032113,34.05,-118.25,53,6
1971032114,34.05,-118.25,53,6
1971032115,34.05,-118.25,53,8
1971032116,34.05,-118.25,53,9
1971032117,34.05,-118.25,55,0
1971032118,34.05,-118.25,57,5
1971032119,34.05,-118.25,59,13
1971032120,34.05,-118.25,59,12
1971032121,34.05,-118.25,59,13
1971032122,34.05,-118.25,59,13
1971032123,34.05,-118.25,58,16
1971032100,34.89,-117.02,76,14
1971032103,34.89,-117.02,66,8
1971032106,34.89,-117.02,59,9
1971032109,34.89,-117.02,54,9
1971032112,34.89,-117.02,50,8
1971032115,34.89,-117.02,51,9
1971032118,34.89,-117.02,67,15
1971032121,34.89,-117.02,76,13
